,dupe
2933,1237 N 05TH ST
2934,1440 N FRANKLIN ST
2935,1412 N 07TH ST
2936,1524 N 08TH ST
2937,1424 N FRANKLIN ST
2938,239 SHAWMONT AVE
2939,335 SHAWMONT AVE
2940,9001 AYRDALECRESCENT ST
2941,9003 AYRDALECRESCENT ST
2942,9005 AYRDALECRESCENT ST
2943,9007 AYRDALECRESCENT ST
2944,4557 MANAYUNK AVE
2945,3863 TERRACE ST
2946,608 W PHIL ELLENA ST
2947,1239 N 05TH ST
2948,1241 N 05TH ST
2949,1214 N ORKNEY ST
2950,1216 N ORKNEY ST
2951,1218 N ORKNEY ST
2952,1747 N MARSHALL ST
2953,1513 N FRANKLIN ST
2954,1521 N FRANKLIN ST
2955,730 JEFFERSON ST
2956,1940 N 06TH ST
2957,241 SHAWMONT AVE
2958,243 SHAWMONT AVE
2959,245 SHAWMONT AVE
2960,9011 AYRDALECRESCENT ST
2961,9013 AYRDALECRESCENT ST
2962,9015 AYRDALECRESCENT ST
2963,9017 AYRDALECRESCENT ST
2964,9019 AYRDALECRESCENT ST
2965,9021 AYRDALECRESCENT ST
2966,9023 AYRDALECRESCENT ST
2967,6614-24 GERMANTOWN AVE
2968,1220 N ORKNEY ST
2969,1222 N ORKNEY ST
2970,1224 N ORKNEY ST
2971,1948 N 06TH ST
2972,1950 N 06TH ST
2973,1952 N 06TH ST
2974,247 SHAWMONT AVE
2975,249 SHAWMONT AVE
2976,9101 AYRDALECRESCENT ST
2977,9103 AYRDALECRESCENT ST
2978,9105 AYRDALECRESCENT ST
2979,9107 AYRDALECRESCENT ST
2980,9109 AYRDALECRESCENT ST
2981,9111 AYRDALECRESCENT ST
2982,9115 AYRDALECRESCENT ST
2983,4236 OSAGE AVE
2984,1932 W GIRARD AVE
2985,1925 POPLAR ST
2986,1927 POPLAR ST
2987,1931 POPLAR ST
2988,1524 N HANCOCK ST
2989,1225 SHACKAMAXON ST
2990,1227 SHACKAMAXON ST
2991,1308 HOPE ST
2992,1780 FRANKFORD AVE
2993,1311-13 N 6TH ST
2994,1231 N 2ND ST
2995,1600-18 ARCH ST
2996,511-19 N BROAD ST
2997,1012 GREEN ST
2998,631 N 13TH ST
2999,633 N 13TH ST
3000,635 N 13TH ST
3001,630 N 7TH ST
3002,703 WALLACE ST
3003,2005 WALLACE ST
3004,1724 GREEN ST
3005,631 N 20TH ST
3006,1714 GREEN ST
3007,2401 PENNSYLVANIA AVE
3008,627-37 N 18TH ST
3009,2801 PENNSYLVANIA AVE
3010,1717 GREEN ST
3011,2336 FAIRMOUNT AVE
3012,2334 FAIRMOUNT AVE
3013,2332 FAIRMOUNT AVE
3014,2330 FAIRMOUNT AVE
3015,2349 WALLACE ST
3016,2347 WALLACE ST
3017,1521 BROWN ST
3018,724 N 16TH ST
3019,1836 GREEN ST
3020,613 N 18TH ST
3021,823 N 15TH ST
3022,1722 MOUNT VERNON ST
3023,703-05 N 18TH ST
3024,753-55 N 20TH ST
3025,734 N 19TH ST
3026,843 N 15TH ST
3027,841 N 15TH ST
3028,801-03 N 16TH ST
3029,1221 SHACKAMAXON ST
3030,1233 N 2ND ST
3031,1253-55 MASCHER ST
3032,1247 E COLUMBIA AVE
3033,672 PERTH PL
3034,705 WALLACE ST
3035,707 WALLACE ST
3036,709 WALLACE ST
3037,711 WALLACE ST
3038,713 WALLACE ST
3039,1716 GREEN ST
3040,1718 GREEN ST
3041,2024 GREEN ST
3042,1919 MOUNT VERNON ST
3043,1738-42 GREEN ST
3044,2345 WALLACE ST
3045,2343 WALLACE ST
3046,2341 WALLACE ST
3047,2339 WALLACE ST
3048,2337 WALLACE ST
3049,1714 WALLACE ST
3050,729 N 17TH ST
3051,2008 SPRING GARDEN ST
3052,1732-42 FAIRMOUNT AVE
3053,1815 WYLIE ST
3054,1817 WYLIE ST
3055,840 N 15TH ST
3056,823 N 20TH ST
3057,832 N 16TH ST
3058,1917 BROWN ST
3059,819 N UBER ST
3060,636 BELGRADE ST
3061,1325 FRANKFORD AVE
3062,1714 MEMPHIS ST
3063,327 E ALLEN ST
3064,316 RICHMOND ST
3065,674 PERTH PL
3066,676 PERTH PL
3067,731 MELON PL
3068,704 NORTH TER
3069,1001 N MARSHALL ST
3070,631 N 12TH ST
3071,622 N 12TH ST
3072,2026 GREEN ST
3073,2032 GREEN ST
3074,2009 WALLACE ST
3075,1800 GREEN ST
3076,2231 GREEN ST
3077,1710 WALLACE ST
3078,559 N 20TH ST
3079,1625 OGDEN ST
3080,1623 RIDGE AVE
3081,714-24 N CHADWICK ST
3082,1924 POPLAR ST
3083,1509 RIDGE AVE
3084,806 N 15TH ST
3085,1301 N 6TH ST
3086,321 E ALLEN ST
3087,323 E ALLEN ST
3088,1510 FRANKFORD AVE
3089,1234 HAMILTON ST
3090,733 MELON PL
3091,735 MELON PL
3092,1217-19 MOUNT VERNON ST
3093,603 N 12TH ST
3094,605 N 12TH ST
3095,1109 LEMON ST
3096,1022-24 FAIRMOUNT AVE
3097,2229 GREEN ST
3098,630-32 N 17TH ST
3099,1910 FAIRMOUNT AVE
3100,1914 FAIRMOUNT AVE
3101,2043 MOUNT VERNON ST
3102,1906 FAIRMOUNT AVE
3103,1719-21 WALLACE ST
3104,1901 GREEN ST
3105,1733 WALLACE ST
3106,853 N UBER ST
3107,855 N UBER ST
3108,742 N 19TH ST
3109,2026 OGDEN ST
3110,1522 BROWN ST
3111,1746 WYLIE ST
3112,1342 E BERKS ST
3113,1346 E BERKS ST
3114,1350 E BERKS ST
3115,1232 N RANDOLPH ST
3116,737 MELON PL
3117,721 MELON PL
3118,1211 MOUNT VERNON ST
3119,1314 N 6TH ST
3120,679 N 11TH ST
3121,1205-07 MOUNT VERNON ST
3122,1902 FAIRMOUNT AVE
3123,1703 WALLACE ST
3124,1705 WALLACE ST
3125,1704 WALLACE ST
3126,2137-39 GREEN ST
3127,2320 WALLACE PL
3128,1903-05 GREEN ST
3129,865 N UBER ST
3130,1629 FAIRMOUNT AVE
3131,2810 POPLAR ST
3132,1832 GREEN ST
3133,842 N 15TH ST
3134,1416 PARRISH ST
3135,1519 OGDEN ST
3136,1625-31 RIDGE AVE
3137,1716 FOLSOM ST
3138,1242-44 E SUSQUEHANNA AVE
3139,1219 N RANDOLPH ST
3140,1246-54 E MONTGOMERY AVE
3141,723 MELON PL
3142,631 BEULAH PL
3143,633 BEULAH PL
3144,1217 GREEN ST
3145,1105 MOUNT VERNON ST
3146,618 N 11TH ST
3147,546 N 12TH ST
3148,622 N 11TH ST
3149,620 N 11TH ST
3150,1708 WALLACE ST
3151,1712 WALLACE ST
3152,1929 WALLACE ST
3153,825 N 29TH ST
3154,865 N 29TH ST
3155,1527 FAIRMOUNT AVE
3156,1529 FAIRMOUNT AVE
3157,1531 FAIRMOUNT AVE
3158,1718 FOLSOM ST
3159,1720 FOLSOM ST
3160,1724 FOLSOM ST
3161,1434 POPLAR ST
3162,1542 OGDEN ST
3163,1230 N 5TH ST
3164,1769 FRANKFORD AVE
3165,1215 N RANDOLPH ST
3166,722 NORTH TER
3167,732 NORTH TER
3168,1100 LEMON ST
3169,624 N 11TH ST
3170,626 N 11TH ST
3171,1321 N 7TH ST
3172,547 N 12TH ST
3173,1323 N 7TH ST
3174,1716 WALLACE ST
3175,1723 WALLACE ST
3176,1729 WALLACE ST
3177,1707 WALLACE ST
3178,1723-29 FAIRMOUNT AVE
3179,1533 FAIRMOUNT AVE
3180,1535 FAIRMOUNT AVE
3181,1537 FAIRMOUNT AVE
3182,846 N 15TH ST
3183,838 N 15TH ST
3184,1538-40 OGDEN ST
3185,823 N UBER ST
3186,1203-15 N 3RD ST
3187,734 NORTH TER
3188,736 NORTH TER
3189,986-88 N MARSHALL ST
3190,1329 N FRANKLIN ST
3191,1023 MOUNT VERNON ST
3192,1325 N 7TH ST
3193,1731 WALLACE ST
3194,1726 WALLACE ST
3195,2301 GREEN ST
3196,858 N 25TH ST
3197,609 N 18TH ST
3198,1727 FRANCIS ST
3199,863 N UBER ST
3200,844 N 15TH ST
3201,1436 POPLAR ST
3202,1517 BROWN ST
3203,1437 BROWN ST
3204,735 NORTH TER
3205,672 FRANKLIN PL
3206,976 N MARSHALL ST
3207,1334 N 7TH ST
3208,1336 N 7TH ST
3209,1333 N 7TH ST
3210,1728 WALLACE ST
3211,1737 WALLACE ST
3212,1709 WALLACE ST
3213,558 N 17TH ST
3214,1717 SPRING GARDEN ST
3215,844-46 N 29TH ST
3216,713 SHIRLEY ST
3217,715 SHIRLEY ST
3218,563 N 20TH ST
3219,1926 POPLAR ST
3220,802 CORINTHIAN AVE
3221,821 N 15TH ST
3222,820 BURNS ST
3223,801 N 17TH ST
3224,751 N UBER ST
3225,21 E COLUMBIA AVE
3226,1778 FRANKFORD AVE
3227,674 FRANKLIN PL
3228,732 MELON PL
3229,734 MELON PL
3230,979 N MARSHALL ST
3231,1317 N 07TH ST
3232,1319 N 7TH ST
3233,601 N 12TH ST
3234,610 N 17TH ST
3235,1715 WALLACE ST
3236,1739 WALLACE ST
3237,838 N NEWKIRK ST
3238,1621 FAIRMOUNT AVE
3239,1623 FAIRMOUNT AVE
3240,1625 FAIRMOUNT AVE
3241,1627 FAIRMOUNT AVE
3242,1619 FAIRMOUNT AVE
3243,1718-20 NORTH ST
3244,1900 POPLAR ST
3245,1930-32 PARRISH ST
3246,824 N 16TH ST
3247,1636 RIDGE AVE
3248,834 N 16TH ST
3249,1819-21 WYLIE ST
3250,1231 N 3RD ST
3251,1233 N 3RD ST
3252,1034 E COLUMBIA AVE
3253,1526-30 N 2ND ST
3254,671 FRANKLIN PL
3255,673 FRANKLIN PL
3256,1000 N MARSHALL ST
3257,970 N MARSHALL ST
3258,1327 N 07TH ST
3259,617 N 18TH ST
3260,878 PENNOCK ST
3261,876 PENNOCK ST
3262,874 PENNOCK ST
3263,872 PENNOCK ST
3264,870 PENNOCK ST
3265,870 N 28TH ST
3266,1712 GREEN ST
3267,2012 SPRING GARDEN ST
3268,1902 POPLAR ST
3269,1643 FRANCIS ST
3270,524 N 22ND ST
3271,1904 POPLAR ST
3272,1906 POPLAR ST
3273,1908 POPLAR ST
3274,713 N CAPITOL ST
3275,712 N 19TH ST
3276,717 N 17TH ST
3277,736 N 19TH ST
3278,1100-06 SHACKAMAXON ST
3279,1529-33 N PHILIP ST
3280,1800 FRANKFORD AVE
3281,1814 FRANKFORD AVE
3282,1246 FRANKFORD AVE
3283,20 E PENN ST
3284,719 NORTH TER
3285,721 NORTH TER
3286,702 FAIRMOUNT AVE
3287,1307 N 07TH ST
3288,742 MASTER ST
3289,938-40 N MARSHALL ST
3290,614 MASTER ST
3291,1335 N MARSHALL ST
3292,868 PENNOCK ST
3293,866 PENNOCK ST
3294,864 PENNOCK ST
3295,862 PENNOCK ST
3296,860 PENNOCK ST
3297,858 PENNOCK ST
3298,1826 GREEN ST
3299,1828 GREEN ST
3300,605 N 18TH ST
3301,1607 BROWN ST
3302,725 N 20TH ST
3303,713 N 20TH ST
3304,1519 BROWN ST
3305,828 N 19TH ST
3306,1734 WYLIE ST
3307,2617 BROWN ST
3308,2013 MOUNT VERNON ST
3309,1226-28 LEOPARD ST
3310,1309-11 N LAWRENCE ST
3311,110 W THOMPSON ST
3312,1535-39 N PHILIP ST
3313,1111 MOUNT VERNON ST
3314,704 FAIRMOUNT AVE
3315,706 FAIRMOUNT AVE
3316,708 FAIRMOUNT AVE
3317,710 FAIRMOUNT AVE
3318,640 N 7TH ST
3319,1005 N MARSHALL ST
3320,1804 GREEN ST
3321,1940-42 WALLACE ST
3322,1930 GREEN ST
3323,856 PENNOCK ST
3324,851 N 28TH ST
3325,853 N 28TH ST
3326,855 N 28TH ST
3327,857 N 28TH ST
3328,2701 PENNSYLVANIA AVE
3329,1830 GREEN ST
3330,829 N 29TH ST
3331,2019 SPRING GARDEN ST
3332,1834 POPLAR ST
3333,1836 POPLAR ST
3334,1500 SWAIN ST
3335,837 N 16TH ST
3336,839 N 16TH ST
3337,1606 OGDEN ST
3338,1608 OGDEN ST
3339,727 N 20TH ST
3340,1526 RIDGE AVE
3341,1125 E COLUMBIA AVE
3342,1532-36 N 2ND ST
3343,1757-59 FRANKFORD AVE
3344,715 BROWN ST
3345,713 BROWN ST
3346,711 BROWN ST
3347,709 BROWN ST
3348,707 BROWN ST
3349,705 BROWN ST
3350,1902 WALLACE ST
3351,1715 GREEN ST
3352,1713 GREEN ST
3353,2751 PENNSYLVANIA AVE
3354,1705-11 GREEN ST
3355,1913 GREEN ST
3356,2717 BROWN ST
3357,2232 GREEN ST
3358,843 N 16TH ST
3359,1732 FOLSOM ST
3360,1736 FOLSOM ST
3361,1740 FOLSOM ST
3362,1742 FOLSOM ST
3363,1744 FOLSOM ST
3364,810 BURNS ST
3365,853 N 15TH ST
3366,1541 RIDGE AVE
3367,1307 N 6TH ST
3368,1309 N 6TH ST
3369,1112 SHACKAMAXON ST
3370,1806 FRANKFORD AVE
3371,16 W THOMPSON ST
3372,703 BROWN ST
3373,701 BROWN ST
3374,1726 GREEN ST
3375,629 N 20TH ST
3376,2035 GREEN ST
3377,2033 GREEN ST
3378,1911 GREEN ST
3379,813 N 16TH ST
3380,2033 SPRING GARDEN ST
3381,847 N 16TH ST
3382,825 N 20TH ST
3383,738 N 19TH ST
3384,853 N 16TH ST
3385,1938 GREEN ST
3386,741 N 20TH ST
3387,840 N 19TH ST
3388,743 N 20TH ST
3389,826-28 N 16TH ST
3390,1301 N FRONT ST
3391,14 W THOMPSON ST
3392,18 W THOMPSON ST
3393,20 W THOMPSON ST
3394,1865 FRANKFORD AVE
3395,1401 N 2ND ST
3396,1306 HOPE ST
3397,617 N 10TH ST
3398,2020 GREEN ST
3399,2022 GREEN ST
3400,2103 GREEN ST
3401,700 PENNOCK ST
3402,2342 FAIRMOUNT AVE
3403,2340 FAIRMOUNT AVE
3404,2338 FAIRMOUNT AVE
3405,792 PENNOCK ST
3406,1702 WALLACE ST
3407,1912 SPRING GARDEN ST
3408,842 N 19TH ST
3409,853 N 20TH ST
3410,741 N 17TH ST
3411,1526 PARRISH ST
3412,731 N 20TH ST
3413,1644-46 FRANCIS ST
3414,1634 RIDGE AVE
3415,1815 FRANKFORD AVE
3416,200 ERNEST WAY
3417,5017 CONVENT LN
3418,5019 CONVENT LN
3419,5000 CONVENT LN
3420,5002 CONVENT LN
3421,8030 DITMAN ST
3422,9528 JAMES ST
3423,9530 JAMES ST
3424,9532 JAMES ST
3425,9534 JAMES ST
3426,9536 JAMES ST
3427,9538 JAMES ST
3428,3750 CLARENDON AVE
3429,3850 WOODHAVEN RD
3430,12135 ACADEMY RD
3431,2119 PINE ST
3432,2108-10 WALNUT ST
3433,5021 CONVENT LN
3434,5004 CONVENT LN
3435,9540 JAMES ST
3436,9542 JAMES ST
3437,9544 JAMES ST
3438,9546 JAMES ST
3439,9548 JAMES ST
3440,9550 JAMES ST
3441,9552 JAMES ST
3442,2108 WALNUT ST
3443,300 TYLER CT
3444,5023 CONVENT LN
3445,5025 CONVENT LN
3446,5006 CONVENT LN
3447,9554 JAMES ST
3448,9556 JAMES ST
3449,9558 JAMES ST
3450,9560 JAMES ST
3451,9562 JAMES ST
3452,9564 JAMES ST
3453,9566 JAMES ST
3454,5027 CONVENT LN
3455,5008 CONVENT LN
3456,5010 CONVENT LN
3457,9568 JAMES ST
3458,9570 JAMES ST
3459,9572 JAMES ST
3460,9574 JAMES ST
3461,9576 JAMES ST
3462,9578 JAMES ST
3463,9580 JAMES ST
3464,3333 COMLY RD
3465,5029 CONVENT LN
3466,5100 CONVENT LN
3467,5012 CONVENT LN
3468,9582 JAMES ST
3469,9584 JAMES ST
3470,9586 JAMES ST
3471,9523 JAMES ST
3472,9525 JAMES ST
3473,9527 JAMES ST
3474,9529 JAMES ST
3475,8940 KREWSTOWN RD
3476,2727 RHAWN ST
3477,5014 CONVENT LN
3478,9531 JAMES ST
3479,9533 JAMES ST
3480,9535 JAMES ST
3481,9537 JAMES ST
3482,9539 JAMES ST
3483,9541 JAMES ST
3484,9543 JAMES ST
3485,11803 ACADEMY RD
3486,11805 ACADEMY RD
3487,11807 ACADEMY RD
3488,11809 ACADEMY RD
3489,11811 ACADEMY RD
3490,11813 ACADEMY RD
3491,8950 KREWSTOWN RD
3492,5016 CONVENT LN
3493,9545 JAMES ST
3494,9547 JAMES ST
3495,9549 JAMES ST
3496,9551 JAMES ST
3497,9553 JAMES ST
3498,9555 JAMES ST
3499,9557 JAMES ST
3500,11815 ACADEMY RD
3501,11817 ACADEMY RD
3502,11819 ACADEMY RD
3503,11821 ACADEMY RD
3504,11823 ACADEMY RD
3505,11825 ACADEMY RD
3506,11827 ACADEMY RD
3507,8960 KREWSTOWN RD
3508,5018 CONVENT LN
3509,5020 CONVENT LN
3510,4948 FITLER ST
3511,4950 FITLER ST
3512,4952 FITLER ST
3513,4954 FITLER ST
3514,4956 FITLER ST
3515,4958 FITLER ST
3516,4960 FITLER ST
3517,9559 JAMES ST
3518,9561 JAMES ST
3519,9563 JAMES ST
3520,9565 JAMES ST
3521,9567 JAMES ST
3522,9569 JAMES ST
3523,9571 JAMES ST
3524,11829 ACADEMY RD
3525,11831 ACADEMY RD
3526,11833 ACADEMY RD
3527,11835 ACADEMY RD
3528,11837 ACADEMY RD
3529,11839 ACADEMY RD
3530,11841 ACADEMY RD
3531,237-47 S 18TH ST
3532,5022 CONVENT LN
3533,4962 FITLER ST
3534,4964 FITLER ST
3535,4966 FITLER ST
3536,4968 FITLER ST
3537,4970 FITLER ST
3538,9524 STATE RD
3539,9526 STATE RD
3540,9573 JAMES ST
3541,9575 JAMES ST
3542,9577 JAMES ST
3543,9579 JAMES ST
3544,9581 JAMES ST
3545,9583 JAMES ST
3546,9585 JAMES ST
3547,11843 ACADEMY RD
3548,11845 ACADEMY RD
3549,11847 ACADEMY RD
3550,11849 ACADEMY RD
3551,11851 ACADEMY RD
3552,11853 ACADEMY RD
3553,11855 ACADEMY RD
3554,5024 CONVENT LN
3555,5026 CONVENT LN
3556,9528 STATE RD
3557,9530 STATE RD
3558,9532 STATE RD
3559,9534 STATE RD
3560,9536 STATE RD
3561,9538 STATE RD
3562,9540 STATE RD
3563,11857 ACADEMY RD
3564,11859 ACADEMY RD
3565,11861 ACADEMY RD
3566,11863 ACADEMY RD
3567,11865 ACADEMY RD
3568,11867 ACADEMY RD
3569,11869 ACADEMY RD
3570,5003 CONVENT LN
3571,9542 STATE RD
3572,9544 STATE RD
3573,9546 STATE RD
3574,9548 STATE RD
3575,9550 STATE RD
3576,9552 STATE RD
3577,9554 STATE RD
3578,11871 ACADEMY RD
3579,11873 ACADEMY RD
3580,11875 ACADEMY RD
3581,11879 ACADEMY RD
3582,11881 ACADEMY RD
3583,11883 ACADEMY RD
3584,5005 CONVENT LN
3585,5007 CONVENT LN
3586,9556 STATE RD
3587,9558 STATE RD
3588,9560 STATE RD
3589,9562 STATE RD
3590,9564 STATE RD
3591,9566 STATE RD
3592,9568 STATE RD
3593,11885 ACADEMY RD
3594,11887 ACADEMY RD
3595,11889 ACADEMY RD
3596,11891 ACADEMY RD
3597,11893 ACADEMY RD
3598,11895 ACADEMY RD
3599,11897 ACADEMY RD
3600,5009 CONVENT LN
3601,9570 STATE RD
3602,9572 STATE RD
3603,9574 STATE RD
3604,9576 STATE RD
3605,9578 STATE RD
3606,9580 STATE RD
3607,9582 STATE RD
3608,5011 CONVENT LN
3609,9584 STATE RD
3610,9586 STATE RD
3611,9488 CONVENT LN
3612,9490 CONVENT LN
3613,9492 CONVENT LN
3614,9494 CONVENT LN
3615,9496 CONVENT LN
3616,5013 CONVENT LN
3617,9498 CONVENT LN
3618,9500 JAMES ST
3619,9502 JAMES ST
3620,9504 JAMES ST
3621,9506 JAMES ST
3622,9508 JAMES ST
3623,9510 JAMES ST
3624,5015 CONVENT LN
3625,5000 CONVENT LA
3626,9512 JAMES ST
3627,9514 JAMES ST
3628,9516 JAMES ST
3629,9518 JAMES ST
3630,9520 JAMES ST
3631,9522 JAMES ST
3632,9524 JAMES ST
3633,9526 JAMES ST
